,id,movie,production_budget,domestic_gross,worldwide_gross,overall_profitability,start_year,genres
0,1,Avatar,425000000,760507625,2776345279,2351345279,2011,['Horror']
1,2,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,635063875,2011,"['Action', 'Adventure', 'Fantasy']"
2,3,Dark Phoenix,350000000,42762350,149762350,-200237650,2019,"['Action', 'Adventure', 'Sci-Fi']"
3,4,Avengers: Age of Ultron,330600000,459005868,1403013963,1072413963,2015,"['Action', 'Adventure', 'Sci-Fi']"
6,7,Avengers: Infinity War,300000000,678815482,2048134200,1748134200,2018,"['Action', 'Adventure', 'Sci-Fi']"
8,9,Justice League,300000000,229024295,655945209,355945209,2017,"['Action', 'Adventure', 'Fantasy']"
9,10,Spectre,300000000,200074175,879620923,579620923,2015,"['Action', 'Adventure', 'Thriller']"
10,11,The Dark Knight Rises,275000000,448139099,1084439099,809439099,2012,"['Action', 'Thriller']"
11,12,Solo: A Star Wars Story,275000000,213767512,393151347,118151347,2018,"['Action', 'Adventure', 'Fantasy']"
12,13,The Lone Ranger,275000000,89302115,260002115,-14997885,2013,"['Action', 'Adventure', 'Western']"
13,14,John Carter,275000000,73058679,282778100,7778100,2012,"['Action', 'Adventure', 'Sci-Fi']"
14,15,Tangled,260000000,200821936,586477240,326477240,2010,"['Adventure', 'Animation', 'Comedy']"
16,17,Captain America: Civil War,250000000,408084349,1140069413,890069413,2016,"['Action', 'Adventure', 'Sci-Fi']"
17,18,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,617500281,2016,"['Action', 'Adventure', 'Fantasy']"
18,19,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,767003568,2012,"['Adventure', 'Family', 'Fantasy']"
20,21,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,710366855,2013,"['Adventure', 'Fantasy']"
21,22,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,695577621,2014,"['Adventure', 'Fantasy']"
22,23,The Fate of the Furious,250000000,225764765,1234846267,984846267,2017,"['Action', 'Crime', 'Thriller']"
24,25,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,558241137,2017,"['Action', 'Adventure', 'Fantasy']"
26,27,The Avengers,225000000,623279547,1517935897,1292935897,2012,"['Action', 'Adventure', 'Sci-Fi']"
